frame_no,joint_name,x_cm,y_cm,z_cm
1,left_elbow,138.23,147.39,-68.58
2,left_elbow,133.26,143.07,-63.57
3,left_elbow,133.57,141.51,-73.56
4,left_elbow,133.6,141.07,-79.14
5,left_elbow,127.49,132.58,-95.93
6,left_elbow,126.69,129.49,-101.52
7,left_elbow,126.01,128.82,-101.91
8,left_elbow,119.89,126.65,-115.8
9,left_elbow,119.92,126.77,-112.83
10,left_elbow,120.41,125.42,-118.1
11,left_elbow,115.95,124.52,-128.82
12,left_elbow,116.0,123.99,-144.36
13,left_elbow,116.26,124.33,-152.12
14,left_elbow,114.71,126.64,-146.93
15,left_elbow,113.61,127.3,-139.04
16,left_elbow,113.46,129.48,-142.59
17,left_elbow,108.72,149.8,-117.61
18,left_elbow,108.2,142.35,-112.42
19,left_elbow,104.5,142.08,-108.58
20,left_elbow,103.37,127.34,-149.55
21,left_elbow,103.19,126.52,-143.92
22,left_elbow,104.24,117.4,-176.61
23,left_elbow,102.14,112.93,-197.08
24,left_elbow,100.69,105.33,-201.48
25,left_elbow,100.76,107.89,-185.47
26,left_elbow,96.9,110.16,-176.95
27,left_elbow,96.09,104.2,-181.38
28,left_elbow,97.34,109.5,-179.35
29,left_elbow,93.92,93.99,-197.34
30,left_elbow,91.74,91.66,-208.07
31,left_elbow,91.46,91.38,-205.01
32,left_elbow,91.99,89.61,-227.63
33,left_elbow,92.4,90.56,-223.42
34,left_elbow,92.48,90.05,-226.38
35,left_elbow,89.24,88.98,-225.14
36,left_elbow,87.47,89.93,-227.82
37,left_elbow,86.84,89.68,-227.42
38,left_elbow,92.26,89.95,-244.41
39,left_elbow,94.35,89.38,-236.64
40,left_elbow,95.24,88.49,-234.57
41,left_elbow,97.02,87.67,-231.78
42,left_elbow,97.62,87.36,-230.7
43,left_elbow,98.14,87.39,-229.21
44,left_elbow,98.87,87.26,-204.11
45,left_elbow,99.13,87.24,-200.31
46,left_elbow,99.39,87.25,-191.0
47,left_elbow,100.39,87.48,-199.34
48,left_elbow,100.78,87.79,-195.22
49,left_elbow,101.05,87.82,-195.57
50,left_elbow,101.82,88.87,-173.75
51,left_elbow,102.2,89.56,-161.08
52,left_elbow,102.53,89.8,-156.81
53,left_elbow,102.48,90.03,-166.53
54,left_elbow,102.42,90.14,-174.75
55,left_elbow,102.37,90.21,-171.87
56,left_elbow,102.32,90.49,-165.31
57,left_elbow,102.28,90.66,-163.61
58,left_elbow,102.3,90.84,-164.59
59,left_elbow,102.54,91.6,-160.93
60,left_elbow,102.68,91.95,-161.44
61,left_elbow,102.69,92.08,-161.99
62,left_elbow,102.72,92.26,-163.3
63,left_elbow,102.75,92.6,-160.23
64,left_elbow,102.8,92.82,-146.71
65,left_elbow,102.83,92.9,-145.85
66,left_elbow,102.87,92.97,-144.18
67,left_elbow,102.93,93.03,-140.28
68,left_elbow,103.2,93.07,-145.17
69,left_elbow,103.55,93.15,-151.74
70,left_elbow,104.51,93.16,-160.08
71,left_elbow,104.82,93.35,-166.91
72,left_elbow,104.95,93.38,-168.23
73,left_elbow,105.0,93.4,-172.26
74,left_elbow,106.54,93.43,-161.62
75,left_elbow,107.39,93.7,-162.88
76,left_elbow,107.3,93.68,-146.77
77,left_elbow,107.6,93.93,-138.45
78,left_elbow,107.55,93.94,-144.56
79,left_elbow,107.51,94.05,-142.67
80,left_elbow,109.29,95.19,-145.06
81,left_elbow,110.44,95.87,-144.6
82,left_elbow,110.66,96.01,-145.25
83,left_elbow,110.64,95.77,-173.06
84,left_elbow,110.56,95.59,-168.49
85,left_elbow,110.5,95.45,-166.32
86,left_elbow,110.17,95.45,-141.68
87,left_elbow,109.9,95.43,-137.48
88,left_elbow,109.64,95.42,-138.22
89,left_elbow,109.62,95.58,-157.49
90,left_elbow,109.55,95.62,-163.64
91,left_elbow,109.5,95.67,-168.57
92,left_elbow,109.33,95.68,-145.61
93,left_elbow,109.17,95.69,-139.86
94,left_elbow,109.01,95.69,-140.43
95,left_elbow,108.89,95.85,-143.41
96,left_elbow,108.71,96.02,-146.82
97,left_elbow,108.57,96.14,-153.56
98,left_elbow,108.56,96.42,-138.9
99,left_elbow,108.54,96.63,-136.6
100,left_elbow,108.53,96.81,-134.07
101,left_elbow,108.61,96.78,-136.92
102,left_elbow,108.63,96.74,-137.21
103,left_elbow,108.62,96.74,-139.0
104,left_elbow,108.8,97.01,-142.08
105,left_elbow,108.88,97.39,-135.31
106,left_elbow,108.89,97.58,-129.86
107,left_elbow,108.87,97.59,-127.72
108,left_elbow,108.93,97.57,-127.83
109,left_elbow,108.99,97.57,-130.27
110,left_elbow,109.26,97.59,-132.09
111,left_elbow,109.49,97.63,-133.06
112,left_elbow,109.66,97.66,-133.39
113,left_elbow,109.64,97.64,-132.73
114,left_elbow,109.59,97.63,-131.82
115,left_elbow,109.56,97.61,-130.13
116,left_elbow,109.58,97.68,-147.55
117,left_elbow,109.55,97.68,-147.71
118,left_elbow,109.53,97.69,-146.88
119,left_elbow,109.52,97.79,-145.64
120,left_elbow,108.81,97.82,-128.6
121,left_elbow,108.24,97.82,-122.62
122,left_elbow,108.06,98.25,-126.2
123,left_elbow,108.0,98.38,-124.98
124,left_elbow,108.0,98.45,-122.79
125,left_elbow,106.99,102.94,-124.31
126,left_elbow,106.69,104.32,-124.51
127,left_elbow,106.64,104.91,-124.43
128,left_elbow,106.16,108.75,-114.25
129,left_elbow,105.8,110.56,-116.49
130,left_elbow,105.71,111.49,-110.11
131,left_elbow,105.65,112.45,-96.51
132,left_elbow,105.26,113.17,-112.55
133,left_elbow,105.17,113.43,-133.89
134,left_elbow,100.7,116.66,-144.2
135,left_elbow,98.97,118.15,-147.03
136,left_elbow,98.84,118.21,-147.2
137,left_elbow,99.25,123.15,-123.38
138,left_elbow,99.3,124.93,-123.27
139,left_elbow,99.34,125.42,-124.38
140,left_elbow,101.96,124.77,-122.48
141,left_elbow,104.85,123.96,-127.41
142,left_elbow,105.89,123.46,-127.23
143,left_elbow,106.7,123.39,-129.71
144,left_elbow,107.16,123.16,-129.94
145,left_elbow,107.48,122.99,-129.91
146,left_elbow,107.98,123.19,-125.9
147,left_elbow,108.21,123.14,-124.32
148,left_elbow,108.32,123.07,-123.17
149,left_elbow,108.52,123.05,-130.68
150,left_elbow,108.67,123.03,-133.02
151,left_elbow,108.75,123.01,-132.94
152,left_elbow,108.75,122.98,-132.69
153,left_elbow,108.8,122.96,-128.03
154,left_elbow,108.8,122.94,-125.9
