frame_no,joint_name,x_cm,y_cm,z_cm
1,left_elbow,122.45,93.81,-32.55
2,left_elbow,121.99,93.25,-54.75
3,left_elbow,121.65,93.14,-55.99
4,left_elbow,121.51,93.03,-61.17
5,left_elbow,121.47,92.73,-58.5
6,left_elbow,121.42,92.56,-54.59
7,left_elbow,121.43,92.13,-50.26
8,left_elbow,121.82,90.75,-46.09
9,left_elbow,122.14,90.42,-44.54
10,left_elbow,123.4,89.4,-53.62
11,left_elbow,125.45,88.18,-56.22
12,left_elbow,126.29,87.74,-56.69
13,left_elbow,126.59,87.48,-56.83
14,left_elbow,127.31,87.31,-55.45
15,left_elbow,127.62,87.23,-55.21
16,left_elbow,129.38,83.31,-47.73
17,left_elbow,129.61,78.0,-42.04
18,left_elbow,129.68,76.83,-42.66
19,left_elbow,130.28,73.83,-27.6
20,left_elbow,132.42,72.39,-46.2
21,left_elbow,133.04,71.98,-49.58
22,left_elbow,133.22,71.87,-52.02
23,left_elbow,133.13,70.68,-43.34
24,left_elbow,133.87,69.61,-40.61
25,left_elbow,134.12,69.26,-39.87
26,left_elbow,133.79,67.42,-22.91
27,left_elbow,134.77,65.36,-24.92
28,left_elbow,135.02,64.67,-25.76
29,left_elbow,135.13,61.97,-29.3
30,left_elbow,134.77,59.74,-27.75
31,left_elbow,134.58,59.18,-28.53
32,left_elbow,134.48,57.79,-34.25
33,left_elbow,134.42,57.33,-36.53
34,left_elbow,134.39,57.3,-36.18
35,left_elbow,133.3,57.36,-35.99
36,left_elbow,132.46,57.33,-36.01
37,left_elbow,131.77,57.21,-36.18
38,left_elbow,133.0,57.56,-44.46
39,left_elbow,133.51,57.78,-45.18
40,left_elbow,132.09,57.71,-43.97
41,left_elbow,131.55,57.15,-40.85
42,left_elbow,131.23,56.93,-38.48
43,left_elbow,131.18,57.0,-36.89
44,left_elbow,130.87,57.05,-33.39
45,left_elbow,130.9,57.12,-33.21
46,left_elbow,134.49,59.52,-46.58
47,left_elbow,133.81,60.94,-43.91
48,left_elbow,133.45,61.62,-43.04
49,left_elbow,133.21,63.7,-43.18
50,left_elbow,131.94,67.82,-39.04
51,left_elbow,131.35,69.03,-38.27
52,left_elbow,130.97,69.38,-37.53
53,left_elbow,130.22,69.97,-33.98
54,left_elbow,129.7,70.56,-50.23
55,left_elbow,129.53,70.96,-52.13
56,left_elbow,128.66,70.44,-26.24
57,left_elbow,128.35,70.23,-22.81
58,left_elbow,128.44,70.25,-28.4
59,left_elbow,128.46,70.49,-29.71
60,left_elbow,128.59,70.61,-30.68
61,left_elbow,129.03,70.75,-38.14
62,left_elbow,129.32,70.87,-41.12
63,left_elbow,129.35,70.82,-39.94
64,left_elbow,129.01,70.48,-39.84
65,left_elbow,128.95,70.45,-26.38
66,left_elbow,128.85,70.43,-25.2
67,left_elbow,128.76,70.42,-25.67
68,left_elbow,128.96,71.11,-39.73
69,left_elbow,128.72,72.45,-44.52
70,left_elbow,128.51,72.89,-44.62
71,left_elbow,128.35,75.9,-53.15
72,left_elbow,128.26,76.99,-53.9
73,left_elbow,128.2,77.24,-55.12
74,left_elbow,127.56,77.17,-54.33
75,left_elbow,127.21,77.13,-52.49
76,left_elbow,126.52,80.15,-55.19
77,left_elbow,126.16,80.94,-54.51
78,left_elbow,124.8,81.36,-52.69
79,left_elbow,123.95,81.88,-46.56
80,left_elbow,122.88,81.45,-58.58
81,left_elbow,122.46,81.32,-58.09
82,left_elbow,122.6,82.0,-59.0
83,left_elbow,122.7,82.22,-60.16
84,left_elbow,122.77,83.9,-58.65
85,left_elbow,122.82,84.45,-57.75
86,left_elbow,122.95,84.43,-68.56
87,left_elbow,123.18,84.31,-67.06
88,left_elbow,123.42,84.15,-68.38
89,left_elbow,125.56,84.05,-76.14
90,left_elbow,126.06,83.86,-72.19
91,left_elbow,126.32,83.8,-70.03
92,left_elbow,126.55,83.66,-70.52
93,left_elbow,126.67,83.63,-71.33
94,left_elbow,127.07,83.64,-73.71
95,left_elbow,127.18,83.52,-70.39
96,left_elbow,127.3,83.43,-67.22
97,left_elbow,127.45,83.37,-44.5
98,left_elbow,127.58,83.33,-43.45
99,left_elbow,127.59,83.2,-36.72
100,left_elbow,127.84,83.01,-61.41
101,left_elbow,127.85,83.15,-51.59
102,left_elbow,127.86,83.22,-52.16
103,left_elbow,127.86,83.3,-52.46
104,left_elbow,127.85,83.3,-52.84
105,left_elbow,127.84,83.29,-52.98
106,left_elbow,127.81,83.29,-52.44
107,left_elbow,127.79,83.29,-52.3
108,left_elbow,127.79,83.44,-56.24
109,left_elbow,127.78,83.56,-56.03
110,left_elbow,127.19,82.91,-53.42
111,left_elbow,126.84,82.48,-52.38
112,left_elbow,126.62,82.22,-51.74
113,left_elbow,126.86,81.86,-51.63
114,left_elbow,127.0,81.58,-50.77
115,left_elbow,127.12,81.48,-50.46
116,left_elbow,127.21,81.43,-49.61
117,left_elbow,127.2,78.68,-57.52
118,left_elbow,127.2,77.59,-59.59
119,left_elbow,127.2,77.07,-60.97
120,left_elbow,128.11,74.77,-52.05
121,left_elbow,128.59,73.98,-51.73
122,left_elbow,130.32,72.45,-57.0
123,left_elbow,130.95,72.05,-58.36
124,left_elbow,131.26,71.84,-60.08
125,left_elbow,131.99,67.87,-52.36
126,left_elbow,132.18,63.09,-40.87
127,left_elbow,132.42,61.76,-38.67
128,left_elbow,132.71,61.53,-39.1
129,left_elbow,134.97,60.77,-54.27
130,left_elbow,136.01,60.64,-59.44
131,left_elbow,135.85,58.45,-47.91
132,left_elbow,135.75,57.53,-44.54
133,left_elbow,135.71,57.26,-44.74
134,left_elbow,136.86,56.47,-42.15
135,left_elbow,137.41,56.35,-43.0
136,left_elbow,137.66,56.37,-43.76
137,left_elbow,137.88,56.35,-46.46
138,left_elbow,137.76,53.62,-46.48
139,left_elbow,137.72,52.8,-46.56
140,left_elbow,137.63,52.48,-46.52
141,left_elbow,137.5,52.02,-44.75
142,left_elbow,137.38,51.85,-43.22
143,left_elbow,137.29,51.17,-44.88
144,left_elbow,137.32,50.94,-46.09
145,left_elbow,137.34,50.81,-46.5
146,left_elbow,137.33,50.75,-46.57
147,left_elbow,135.57,50.82,-49.77
148,left_elbow,134.49,50.78,-49.5
149,left_elbow,134.1,50.74,-49.81
150,left_elbow,135.15,51.5,-38.3
151,left_elbow,135.2,51.83,-33.07
152,left_elbow,133.61,52.63,-36.91
153,left_elbow,132.84,53.0,-38.58
154,left_elbow,132.64,53.18,-38.9
155,left_elbow,131.17,55.62,-11.77
156,left_elbow,130.62,56.64,-8.48
157,left_elbow,130.4,57.13,-7.11
158,left_elbow,130.38,57.33,-7.97
159,left_elbow,129.67,57.41,-14.89
160,left_elbow,129.33,57.51,-16.84
161,left_elbow,129.21,57.56,-17.51
162,left_elbow,128.52,59.72,-21.55
163,left_elbow,128.48,60.49,-22.64
164,left_elbow,125.47,63.72,12.6
165,left_elbow,124.61,64.7,15.47
166,left_elbow,124.31,65.09,15.52
167,left_elbow,124.35,67.87,-3.59
168,left_elbow,124.77,71.93,-3.24
169,left_elbow,125.02,72.88,-2.19
170,left_elbow,125.15,73.06,-1.1
171,left_elbow,125.26,73.33,-13.91
172,left_elbow,125.33,73.4,-16.61
173,left_elbow,125.4,73.85,-27.97
174,left_elbow,125.45,73.9,-30.27
175,left_elbow,125.48,73.91,-34.78
176,left_elbow,125.65,73.56,-10.21
177,left_elbow,125.66,69.44,-2.74
178,left_elbow,125.68,67.89,-0.86
179,left_elbow,125.69,67.2,-0.24
180,left_elbow,125.56,63.75,6.44
181,left_elbow,124.89,63.17,6.79
182,left_elbow,128.62,55.69,-19.51
183,left_elbow,129.22,54.7,-20.89
184,left_elbow,130.26,54.17,-19.55
185,left_elbow,131.47,53.56,-21.12
186,left_elbow,132.69,50.41,-35.73
187,left_elbow,132.81,49.58,-35.17
188,left_elbow,132.89,49.24,-37.47
189,left_elbow,133.71,47.78,-32.23
190,left_elbow,133.96,47.44,-30.99
191,left_elbow,134.06,47.35,-24.53
192,left_elbow,134.16,46.8,-20.33
193,left_elbow,134.17,46.59,-19.02
194,left_elbow,135.97,46.84,-33.66
195,left_elbow,136.41,46.82,-41.28
196,left_elbow,136.42,46.69,-40.52
197,left_elbow,136.24,46.54,-37.27
198,left_elbow,136.1,46.7,-22.64
199,left_elbow,135.9,46.81,-19.15
200,left_elbow,135.69,46.88,-17.28
201,left_elbow,135.24,46.91,-18.14
202,left_elbow,134.93,47.06,-22.65
203,left_elbow,134.67,47.17,-24.45
204,left_elbow,136.05,48.15,-43.35
205,left_elbow,136.54,48.72,-44.78
206,left_elbow,136.43,48.76,-30.63
207,left_elbow,136.41,48.86,-26.42
208,left_elbow,136.34,49.02,-23.57
209,left_elbow,136.29,49.09,-20.51
210,left_elbow,136.46,49.52,-22.18
211,left_elbow,136.57,49.8,-23.11
212,left_elbow,136.61,49.91,-23.22
213,left_elbow,135.88,49.9,-23.1
214,left_elbow,135.37,49.67,-17.37
215,left_elbow,135.0,49.5,-17.55
216,left_elbow,135.57,49.97,-32.03
217,left_elbow,136.2,50.33,-38.4
218,left_elbow,136.19,50.47,-35.31
219,left_elbow,136.18,50.58,-35.07
220,left_elbow,136.17,50.66,-34.88
221,left_elbow,136.16,50.7,-34.52
222,left_elbow,135.8,50.69,-35.79
223,left_elbow,135.68,50.69,-37.32
224,left_elbow,135.45,50.62,-36.67
225,left_elbow,136.39,52.69,-31.84
226,left_elbow,136.78,53.63,-28.49
227,left_elbow,136.76,53.86,-24.7
228,left_elbow,137.33,56.6,-46.02
229,left_elbow,137.44,57.22,-48.95
230,left_elbow,137.52,58.49,-35.09
231,left_elbow,137.56,58.92,-31.59
232,left_elbow,137.57,59.02,-30.68
